"","Order_Number","Filing_Date","Payment_Date","Charter","Property_Type","Real_estate","k.u.","Management_ID","LIST_ID","IDENTITY_ID","cast_number","plot_num"
"11","V-29017/2016-702","13.12.2016 13:59:59","04.01.2017 15:18:20","Smlouva kupní","BUD","è.e. 286, èást obce Knínièky, na parcele 1638 Knínièky (souèástí je stavba è.e. 286, èst obce Knínièky)","Knínièky 611905",46661988010,38172703010,485671702,"611905","1638"
"12","V-29089/2016-702","14.12.2016 12:19:41","24.01.2017 09:21:37","Smlouva kupní","BUD","è.e. 111, èást obce Bohunice, na parcele 1613 Bohunice (souèástí je stavba è.e. 111, èst obce Bohunice)","Bohunice 612006",46678829010,38208934010,468338702,"612006","1613"
"13","V-29325/2016-702","16.12.2016 09:48:15","10.01.2017 08:30:54","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 3603 Slatina, 3635 Slatina (souèástí je stavba budova bez èp/èe, garáž)","Slatina 612286",46714906010,38227593010,705278702,"612286","3603"
"14","V-29596/2016-702","19.12.2016 16:10:25","12.01.2017 14:13:05","Smlouva kupní","BUD","è.e. 77, èást obce Královo Pole, na parcele 5521 Královo Pole (souèástí je stavba è.e. 77, èst obce Královo Pole)","Královo Pole 611484",46755198010,38264827010,493636702,"611484","5521"
"15","V-29664/2016-702","20.12.2016 08:00:00","11.01.2017 09:10:54","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 3788 Komín (souèástí je stavba budova bez èp/èe, garáž)","Komín 610585",46768434010,38279473010,771942702,"610585","3788"
"16","V-29728/2016-702","20.12.2016 13:06:11","11.01.2017 06:59:24","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1351/4 Staré Brno (souèástí je stavba budova bez èp/èe, garáž)","Staré Brno 610089",46771520010,38282246010,517093702,"610089","1351/4"
"17","V-29854/2016-702","21.12.2016 11:05:38","17.01.2017 07:22:07","Smlouva kupní","BUD","è.e. 376, èást obce Líšeò, na parcele 4110/23 Líšeò (souèástí je stavba è.e. 376, èst obce Líšeò)","Líšeò 612405",46787617010,38298421010,500039702,"612405","4110/23"
"18","V-29905/2016-702","21.12.2016 13:54:57","12.01.2017 14:45:11","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 3071/31 Líšeò (souèástí je stavba budova bez èp/èe, garáž)","Líšeò 612405",46796325010,38306242010,497797702,"612405","3071/31"
"19","V-30397/2016-702","29.12.2016 11:15:55","20.01.2017 14:08:19","Smlouva kupní","BUD","è.p. 1310, èást obce Bystrc, na parcele 2459/131 Bystrc (souèástí je stavba è.p. 1310, èst obce Bystrc), 2459/132 Bystrc, 2459/200 Bystrc","Bystrc 611778",46871405010,38382358010,752288702,"611778","2459/131"
"20","V-17/2017-702","02.01.2017 10:50:36","24.01.2017 08:17:06","Smlouva kupní","BUD","è.e. 680, èást obce Jundrov, na parcele 2198 Jundrov (souèástí je stavba è.e. 680, èst obce Jundrov)","Jundrov 610542",46900535010,38407237010,484345702,"610542","2198"
"21","V-82/2017-702","02.01.2017 15:48:03","25.01.2017 16:35:12","Smlouva kupní","BUD","è.p. 158, èást obce Dolní Heršpice, na parcele 70 Dolní Heršpice (souèástí je stavba è.p. 158, èst obce Dolní Heršpice), 71/2 Dolní Heršpice","Dolní Heršpice 612111",46908669010,38413291010,748012702,"612111","0070"
"22","V-115/2017-702","03.01.2017 10:39:00","25.01.2017 14:34:19","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 6189 Žabovøesky (souèástí je stavba budova bez èp/èe, garáž)","Žabovøesky 610470",46920320010,38425472010,22854808010,"610470","6189"
"23","V-115/2017-702","03.01.2017 10:39:00","25.01.2017 14:34:19","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 6190 Žabovøesky (souèástí je stavba budova bez èp/èe, garáž)","Žabovøesky 610470",46920320010,38425472010,22854809010,"610470","6190"
"24","V-117/2017-702","03.01.2017 10:46:32","27.01.2017 12:33:06","Smlouva kupní","BUD","è.p. 1429, èást obce Husovice, na parcele 2247/1 Husovice (souèástí je stavba è.p. 1429, èst obce Husovice)","Husovice 610844",46920703010,38424652010,482388702,"610844","2247/1"
"25","V-186/2017-702","03.01.2017 14:53:55","25.01.2017 10:42:33","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 525/6 Žabovøesky (souèástí je stavba budova bez èp/èe, garáž)","Žabovøesky 610470",46925636010,38438243010,735454702,"610470","0525/6"
"26","V-590/2017-702","09.01.2017 13:07:21","31.01.2017 12:36:08","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1152 Staré Brno (souèástí je stavba budova bez èp/èe, garáž)","Staré Brno 610089",47009630010,38503990010,516954702,"610089","1152"
"27","V-635/2017-702","09.01.2017 15:10:26","31.01.2017 11:27:58","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 3643/11 Èerná Pole (souèástí je stavba budova bez èp/èe, garáž)","Èerná Pole 610771",47013843010,38507827010,644370702,"610771","3643/11"
"28","V-872/2017-702","11.01.2017 13:53:00","07.02.2017 09:25:47","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 233 Zábrdovice (souèástí je stavba budova bez èp/èe, garáž)","Zábrdovice 610704",47054035010,38544566010,525543702,"610704","0233"
"29","V-959/2017-702","12.01.2017 12:47:01","03.02.2017 06:41:32","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1885/15 Starý Lískovec (souèástí je stavba budova bez èp/èe, garáž)","Starý Lískovec 612014",47074371010,38568260010,519201702,"612014","1885/15"
"30","V-1025/2017-702","13.01.2017 08:00:00","07.02.2017 06:59:03","Smlouva kupní","BUD","è.e. 224, èást obce Bystrc, na parcele 5045 Bystrc (souèástí je stavba è.e. 224, èst obce Bystrc)","Bystrc 611778",47085773010,38576435010,471896702,"611778","5045"
"31","V-1062/2017-702","13.01.2017 11:18:35","07.02.2017 07:27:09","Smlouva kupní","BUD","è.p. 2410, èást obce Líšeò, na parcele 2734/5 Líšeò (souèástí je stavba è.p. 2410, èst obce Líšeò)","Líšeò 612405",47089049010,38578809010,500491702,"612405","2734/5"
"32","V-1136/2017-702","16.01.2017 10:42:19","24.02.2017 09:09:24","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 854 Slatina (souèástí je stavba budova bez èp/èe, garáž)","Slatina 612286",47111811010,39146873010,515416702,"612286","0854"
"33","V-1229/2017-702","16.01.2017 14:02:54","07.02.2017 10:24:07","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 2119/40 Malomìøice (souèástí je stavba budova bez èp/èe, garáž)","Malomìøice 612499",47119153010,38615909010,504195702,"612499","2119/40"
"34","V-1470/2017-702","18.01.2017 12:42:08","09.02.2017 09:50:33","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1090/4 Trnitá (souèástí je stavba budova bez èp/èe, garáž)","Trnitá 610950",47158192010,38644679010,24052351010,"610950","1090/4"
"35","V-1920/2017-702","24.01.2017 13:49:40","15.02.2017 12:56:03","Smlouva kupní","BUD","è.p. 628, èást obce Malomìøice, na parcele 1714 Malomìøice (souèástí je stavba è.p. 628, èst obce Malomìøice)","Malomìøice 612499",47245247010,38744399010,502472702,"612499","1714"
"36","V-1920/2017-702","24.01.2017 13:49:40","15.02.2017 12:56:03","Smlouva kupní","BUD","è.p. 629, èást obce Malomìøice, na parcele 1715 Malomìøice (souèástí je stavba è.p. 629, èst obce Malomìøice)","Malomìøice 612499",47245247010,38744399010,502473702,"612499","1715"
"37","V-2074/2017-702","26.01.2017 08:03:37","24.02.2017 12:28:09","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 855 Slatina (souèástí je stavba budova bez èp/èe, garáž)","Slatina 612286",47276124010,38765627010,514432702,"612286","0855"
"38","V-2100/2017-702","26.01.2017 09:59:15","17.02.2017 06:42:42","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 2134/3 Slatina (souèástí je stavba budova bez èp/èe, garáž)","Slatina 612286",47280218010,38979749010,15863701010,"612286","2134/3"
"39","V-2163/2017-702","26.01.2017 14:11:04","21.02.2017 08:17:17","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1321/9 Bohunice (souèástí je stavba budova bez èp/èe, garáž)","Bohunice 612006",47289484010,38773714010,468629702,"612006","1321/9"
"40","V-2253/2017-702","27.01.2017 10:57:46","28.02.2017 12:25:24","Smlouva kupní","BUD","è.e. 83, èást obce Knínièky, na parcele 905 Knínièky (souèástí je stavba è.e. 83, èst obce Knínièky)","Knínièky 611905",47303037010,39142501010,485680702,"611905","0905"
"41","V-2637/2017-702","01.02.2017 14:24:53","06.04.2017 05:19:14","Smlouva kupní","BUD","è.e. 568, èást obce Nový Lískovec, na parcele 1133 Nový Lískovec (souèástí je stavba è.e. 568, èst obce Nový Lískovec)","Nový Lískovec 610283, Zábrdovice 610704",47374836010,38853355010,506564702,"610283","1133"
"42","V-2637/2017-702","01.02.2017 14:24:53","06.04.2017 05:19:14","Smlouva kupní","BUD","è.e. 568, èást obce Nový Lískovec, na parcele 1133 Nový Lískovec (souèástí je stavba è.e. 568, èst obce Nový Lískovec)","Nový Lískovec 610283, Zábrdovice 610704",47374836010,38853355010,506564702,"610283","1133"
"43","V-2685/2017-702","02.02.2017 08:15:09","24.02.2017 06:45:17","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 2929/1 Starý Lískovec (souèástí je stavba budova bez èp/èe, garáž), 2929/2 Starý Lískovec","Starý Lískovec 612014",47386712010,38861166010,670900702,"612014","2929/1"
"44","V-2720/2017-702","02.02.2017 09:35:13","28.02.2017 15:44:20","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 861 Øeèkovice (souèástí je stavba budova bez èp/èe, garáž)","Øeèkovice 611646",47388870010,38863802010,512979702,"611646","0861"
"45","V-2891/2017-702","03.02.2017 11:44:49","28.02.2017 15:44:13","Smlouva kupní","BUD","è.e. 10, èást obce Husovice, na parcele 2422/37 Husovice (souèástí je stavba è.e. 10, èst obce Husovice)","Husovice 610844",47412555010,38885508010,482408702,"610844","2422/37"
"46","V-2945/2017-702","03.02.2017 20:25:21","28.02.2017 07:10:37","Usnesení soudního exekutora o udìlení pøíklepu","BUD","è.e. 169, èást obce Dolní Heršpice, na parcele 304/1 Dolní Heršpice (souèástí je stavba è.e. 169, èst obce Dolní Heršpice)","Dolní Heršpice 612111",47427298010,38898808010,479127702,"612111","0304/1"
"47","V-3240/2017-702","08.02.2017 15:04:30","03.03.2017 08:01:03","Smlouva kupní","BUD","è.p. 1074, èást obce Èernovice, na parcele 494/1 Èernovice (souèástí je stavba è.p. 1074, èst obce Èernovice)","Èernovice 611263",47490119010,38948592010,478333702,"611263","0494/1"
"48","V-3248/2017-702","08.02.2017 15:40:18","02.03.2017 07:09:16","Smlouva kupní","BUD","è.p. 701, èást obce Bohunice, na parcele 2908 Bohunice (souèástí je stavba è.p. 701, èst obce Bohunice)","Bohunice 612006",47490693010,38948978010,468425702,"612006","2908"
"49","V-3308/2017-702","09.02.2017 11:52:55","06.03.2017 08:17:31","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1637/2 Královo Pole (souèástí je stavba budova bez èp/èe, garáž)","Královo Pole 611484",47506346010,38961568010,494445702,"611484","1637/2"
"50","V-3346/2017-702","09.02.2017 14:32:37","06.03.2017 12:22:53","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 273 Žabovøesky (souèástí je stavba budova bez èp/èe, garáž)","Žabovøesky 610470",47511536010,38967214010,529201702,"610470","0273"
"51","V-4010/2017-702","17.02.2017 09:49:24","15.03.2017 09:18:36","Smlouva kupní","BUD","è.e. 1124, èást obce Øeèkovice, na parcele 3749/6 Øeèkovice (souèástí je stavba è.e. 1124, èst obce Øeèkovice)","Øeèkovice 611646",47632042010,39078978010,513820702,"611646","3749/6"
"52","V-4043/2017-702","17.02.2017 11:04:41","14.03.2017 07:48:21","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 699 Lesná (souèástí je stavba budova bez èp/èe, garáž)","Lesná 610887",47633768010,39078363010,497343702,"610887","0699"
"53","V-4337/2017-702","21.02.2017 14:21:33","15.03.2017 07:44:36","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 4649 Žabovøesky (souèástí je stavba budova bez èp/èe, garáž)","Žabovøesky 610470",47686644010,39128351010,528900702,"610470","4649"
"54","V-4507/2017-702","23.02.2017 10:20:53","17.03.2017 06:42:18","Smlouva kupní","BUD","è.p. 776, èást obce Starý Lískovec, na parcele 1749/203 Starý Lískovec (souèástí je stavba è.p. 776, èst obce Starý Lískovec)","Starý Lískovec 612014",47720428010,39169473010,14937960010,"612014","1749/203"
"55","V-4504/2017-702","23.02.2017 10:13:36","17.03.2017 06:48:26","Smlouva kupní","BUD","è.e. 302, èást obce Knínièky, na parcele 1625 Knínièky (souèástí je stavba è.e. 302, èst obce Knínièky)","Knínièky 611905",47721307010,39169834010,486008702,"611905","1625"
"56","V-4537/2017-702","23.02.2017 11:06:34","17.03.2017 06:54:30","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1773 Èernovice (souèástí je stavba budova bez èp/èe, garáž)","Èernovice 611263",47722208010,39163276010,478664702,"611263","1773"
"57","V-4648/2017-702","24.02.2017 08:00:00","23.03.2017 08:13:30","Smlouva kupní","BUD","è.e. 123, èást obce Bystrc, na parcele 3833 Bystrc (souèástí je stavba è.e. 123, èst obce Bystrc)","Bystrc 611778",47738389010,39178024010,471184702,"611778","3833"
"58","V-4650/2017-702","24.02.2017 08:00:00","21.03.2017 14:04:53","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1014 Zábrdovice (souèástí je stavba budova bez èp/èe, garáž)","Zábrdovice 610704",47738444010,39181795010,525323702,"610704","1014"
"59","V-4798/2017-702","27.02.2017 13:55:00","22.03.2017 13:49:16","Smlouva kupní","BUD","è.e. 485, èást obce Pisárky, na parcele 1732 Pisárky (souèástí je stavba è.e. 485, èst obce Pisárky)","Pisárky 610208",47771972010,39207151010,509344702,"610208","1732"
"60","V-4943/2017-702","28.02.2017 14:32:58","29.03.2017 15:33:51","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1136/19 Bystrc (souèástí je stavba budova bez èp/èe, garáž)","Bystrc 611778",47797341010,39247519010,472077702,"611778","1136/19"
"61","V-5710/2017-702","08.03.2017 13:23:12","21.04.2017 11:34:12","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 525/8 Žabovøesky (souèástí je stavba budova bez èp/èe, garáž)","Žabovøesky 610470",47932365010,39938921010,529937702,"610470","0525/8"
"62","V-5810/2017-702","09.03.2017 10:39:59","31.03.2017 06:39:31","Smlouva kupní","BUD","è.e. 338, èást obce Bystrc, na parcele 2906 Bystrc (souèástí je stavba è.e. 338, èst obce Bystrc)","Bystrc 611778",47948033010,39371329010,471445702,"611778","2906"
"63","V-5865/2017-702","09.03.2017 13:50:58","03.04.2017 14:43:50","Smlouva kupní","BUD","è.e. 1132, èást obce Jundrov, na parcele 72/4 Jundrov (souèástí je stavba è.e. 1132, èst obce Jundrov)","Jundrov 610542",47953747010,39376876010,565344702,"610542","0072/4"
"64","V-5877/2017-702","09.03.2017 14:46:22","04.04.2017 07:16:13","Potvrzení o zaplacení nejvyššího podání vydražitelem (§ 336l o.s.ø.)","BUD","è.e. 755, èást obce Øeèkovice, na parcele 4419 Øeèkovice (souèástí je stavba è.e. 755, èst obce Øeèkovice)","Øeèkovice 611646",47955555010,39385005010,512354702,"611646","4419"
"65","V-5887/2017-702","10.03.2017 08:02:41","04.04.2017 05:10:35","Smlouva kupní","BUD","è.e. 606, èást obce Nový Lískovec, na parcele 1115 Nový Lískovec (souèástí je stavba è.e. 606, èst obce Nový Lískovec)","Nový Lískovec 610283",47959421010,39381103010,506676702,"610283","1115"
"66","V-5963/2017-702","10.03.2017 11:30:39","04.04.2017 07:26:43","Smlouva kupní","BUD","è.p. 139, èást obce Veverská Bítýška, na parcele 643/1 Veverská Bítýška (souèástí je stavba è.p. 139, èst obce Veverská Bítýška), 643/2 Veverská Bítýška","Bystrc 611778, Veverská Bítýška 781304",47967943010,39389163010,133292733,"611778","0643/1"
"67","V-5963/2017-702","10.03.2017 11:30:39","04.04.2017 07:26:43","Smlouva kupní","BUD","è.p. 139, èást obce Veverská Bítýška, na parcele 643/1 Veverská Bítýška (souèástí je stavba è.p. 139, èst obce Veverská Bítýška), 643/2 Veverská Bítýška","Bystrc 611778, Veverská Bítýška 781304",47967943010,39389163010,133292733,"611778","0643/1"
"68","V-6044/2017-702","13.03.2017 12:42:12","04.04.2017 07:05:15","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 738 Lesná (souèástí je stavba budova bez èp/èe, garáž)","Lesná 610887",47996604010,39682766010,496721702,"610887","0738"
"69","V-6056/2017-702","13.03.2017 13:19:58","05.04.2017 07:56:16","Smlouva kupní","BUD","è.p. 415, èást obce Brno-mìsto, na parcele 349 Mìsto Brno (souèástí je stavba è.p. 415, èst obce Brno-mìsto)","Mìsto Brno 610003",47999186010,39412668010,505576702,"610003","0349"
"70","V-6125/2017-702","13.03.2017 17:37:55","05.04.2017 06:57:55","Usnesení soudního exekutora o udìlení pøíklepu","BUD","è.p. 636, èást obce Slatina, na parcele 208/1 Slatina (souèástí je stavba è.p. 636, èst obce Slatina)","Slatina 612286",48011744010,39425900010,514957702,"612286","0208/1"
"71","V-6126/2017-702","14.03.2017 09:18:37","06.04.2017 12:47:46","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 773/123 Lesná (souèástí je stavba budova bez èp/èe, garáž)","Lesná 610887",48013057010,39426156010,497018702,"610887","0773/123"
"72","V-6491/2017-702","16.03.2017 13:15:10","11.04.2017 12:31:14","Smlouva kupní","BUD","è.p. 715, èást obce Malomìøice, na parcele 1650 Malomìøice (souèástí je stavba è.p. 715, èst obce Malomìøice)","Malomìøice 612499",48070120010,39494262010,503203702,"612499","1650"
"73","V-6604/2017-702","17.03.2017 20:18:57","11.04.2017 07:03:57","Usnesení soudního exekutora o udìlení pøíklepu","BUD","è.e. 465, èást obce Komín, na parcele 1958/2 Komín (souèástí je stavba è.e. 465, èst obce Komín)","Komín 610585",48105509010,39506746010,490700702,"610585","1958/2"
"74","V-6707/2017-702","20.03.2017 16:50:16","18.04.2017 16:46:42","Smlouva kupní","BUD","è.e. 42, èást obce Štýøice, na parcele 1071/2 Štýøice (souèástí je stavba è.e. 42, èst obce Štýøice)","Štýøice 610186",48125641010,39521497010,520395702,"610186","1071/2"
"75","V-6989/2017-702","23.03.2017 09:34:02","20.04.2017 14:27:07","Smlouva kupní","BUD","è.e. 1109, èást obce Bystrc, na parcele 1199 Bystrc (souèástí je stavba è.e. 1109, èst obce Bystrc)","Bystrc 611778",48183040010,39598127010,471254702,"611778","1199"
"76","V-7000/2017-702","23.03.2017 09:59:14","18.04.2017 07:20:37","Smlouva kupní","BUD","è.e. 333, èást obce Knínièky, na parcele 1054 Knínièky (souèástí je stavba è.e. 333, èst obce Knínièky)","Knínièky 611905",48183461010,39576340010,486055702,"611905","1054"
"77","V-7190/2017-702","27.03.2017 09:10:32","19.04.2017 14:00:05","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 2359/4 Žabovøesky (souèástí je stavba budova bez èp/èe, garáž), 2359/6 Žabovøesky","Žabovøesky 610470",48228378010,39614232010,528814702,"610470","2359/4"
"78","V-7362/2017-702","28.03.2017 08:00:00","24.04.2017 13:46:36","Smlouva kupní","BUD","budova bez èp/èe, zemìdìlská stavba, na parcele 383/5 Dolní Heršpice (souèástí je stavba budova bez èp/èe, zemìdìlská stavba), 383/118 Dolní Heršpice, 383/120 Dolní Heršpice","Dolní Heršpice 612111",48254010010,39640116010,479133702,"612111","0383/5"
"79","V-7362/2017-702","28.03.2017 08:00:00","24.04.2017 13:46:36","Smlouva kupní","BUD","budova bez èp/èe, zemìdìlská stavba, na parcele 383/7 Dolní Heršpice (souèástí je stavba budova bez èp/èe, zemìdìlská stavba), 383/126 Dolní Heršpice, 383/128 Dolní Heršpice","Dolní Heršpice 612111",48254010010,39640116010,479139702,"612111","0383/7"
"80","V-7504/2017-702","29.03.2017 11:49:11","26.04.2017 15:15:52","Smlouva kupní","BUD","è.e. 244, èást obce Malomìøice, na parcele 2119/45 Malomìøice (souèástí je stavba è.e. 244, èst obce Malomìøice)","Malomìøice 612499",48279372010,39666502010,504204702,"612499","2119/45"
"81","V-7574/2017-702","29.03.2017 15:26:36","21.04.2017 13:42:05","Smlouva kupní","BUD","è.e. 363, èást obce Obøany, na parcele 880/9 Obøany (souèástí je stavba è.e. 363, èst obce Obøany)","Obøany 612553",48288493010,39675469010,507890702,"612553","0880/9"
"82","V-7656/2017-702","30.03.2017 12:02:49","27.04.2017 14:00:42","Smlouva kupní","BUD","è.e. 404, èást obce Knínièky, na parcele 1163/1 Knínièky (souèástí je stavba è.e. 404, èst obce Knínièky), 1163/2 Knínièky","Knínièky 611905",48306630010,39693893010,485253702,"611905","1163/1"
"83","V-8153/2017-702","05.04.2017 08:00:00","27.04.2017 06:55:45","Smlouva kupní","BUD","è.e. 378, èást obce Líšeò, na parcele 4110/16 Líšeò (souèástí je stavba è.e. 378, èst obce Líšeò)","Líšeò 612405",48388830010,39779213010,500044702,"612405","4110/16"
"84","V-23274/2016-702","11.10.2016 14:28:25","03.01.2017 14:30:11","Smlouva kupní","JED","jednotka è. 13920048, byt v budovì è.p. 1392, èást obce Bystrc, na parcele 1931/123 Bystrc (souèástí je stavba è.p. 1392, èst obce Bystrc), podl na spoleènch èstech domu a pozemku 248/52546","Bystrc 611778",45643051010,37238170010,24658730010,"611778","0139"
"85","V-23274/2016-702","11.10.2016 14:28:25","03.01.2017 14:30:11","Smlouva kupní","JED","jednotka è. 13920102, garáž v budovì è.p. 1392, èást obce Bystrc, na parcele 1931/123 Bystrc (souèástí je stavba è.p. 1392, èst obce Bystrc), podl na spoleènch èstech domu a pozemku 10492/52546","Bystrc 611778",45643051010,37238170010,24658739010,"611778","0139"
"86","V-23276/2016-702","11.10.2016 14:28:25","13.02.2017 12:06:15","Smlouva kupní","JED","jednotka è. 13910012, byt v budovì è.p. 1391, èást obce Bystrc, na parcele 1931/38 Bystrc, 1931/39 Bystrc, 1931/433 Bystrc (souèástí je stavba è.p. 1391, èst obce Bystrc), podl na spoleènch èstech domu a pozemku 338/29630","Bystrc 611778",45643094010,37237770010,24619698010,"611778","0139"
"87","V-23276/2016-702","11.10.2016 14:28:25","13.02.2017 12:06:15","Smlouva kupní","JED","jednotka è. 13910101, garáž v budovì è.p. 1391, èást obce Bystrc, na parcele 1931/38 Bystrc, 1931/39 Bystrc, 1931/433 Bystrc (souèástí je stavba è.p. 1391, èst obce Bystrc), podl na spoleènch èstech domu a pozemku 7572/29630","Bystrc 611778",45643094010,37237770010,24619720010,"611778","0139"
"88","V-23277/2016-702","11.10.2016 14:28:25","06.01.2017 10:40:48","Smlouva kupní","JED","jednotka è. 13920046, byt v budovì è.p. 1392, èást obce Bystrc, na parcele 1931/123 Bystrc (souèástí je stavba è.p. 1392, èst obce Bystrc), podl na spoleènch èstech domu a pozemku 289/52546","Bystrc 611778",45643117010,37239223010,24658728010,"611778","0139"
"89","V-23761/2016-702","17.10.2016 13:35:22","03.01.2017 13:52:11","Smlouva kupní","JED","jednotka è. 13930003, byt v budovì è.p. 1393, èást obce Bystrc, na parcele 1931/168 Bystrc (souèástí je stavba è.p. 1393, èst obce Bystrc), podl na spoleènch èstech domu a pozemku 800/17613","Bystrc 611778",45731958010,37325875010,24593653010,"611778","0139"
"90","V-23761/2016-702","17.10.2016 13:35:22","03.01.2017 13:52:11","Smlouva kupní","JED","jednotka è. 13930101, garáž v budovì è.p. 1393, èást obce Bystrc, na parcele 1931/168 Bystrc (souèástí je stavba è.p. 1393, èst obce Bystrc), podl na spoleènch èstech domu a pozemku 4527/17613","Bystrc 611778",45731958010,37325875010,24593669010,"611778","0139"
"91","V-24355/2016-702","24.10.2016 09:58:39","27.01.2017 08:54:33","Smlouva kupní","JED","jednotka è. 29020253, byt v budovì è.p. 2902, èást obce Líšeò, na parcele 4422/271 Líšeò (souèástí je stavba è.p. 2902, èst obce Líšeò), 4422/272 Líšeò, 4422/273 Líšeò, podl na spoleènch èstech domu a pozemku 5800/2548407","Líšeò 612405",45840556010,37411649010,624843702,"612405","0290"
